Layer,계약연도,시도,시군구,신용정보,전자압류,EGS,계약유형_계약여부,신용정보(\),전자압류(\),EGS (\),합계,지방세,세외수입,기타,부서_계약여부
B,2026,경기도,이천시,1,1,1,1,3960,3300,22000,29260,1,0,0,1
B,2026,경기도,안성시,1,0,0,1,3960,,0,3960,1,0,0,1
B,2026,경기도,김포시,1,1,1,1,3960,9900,18040,31900,1,0,0,1
B,2026,경기도,화성시,1,1,1,1,10632,24200,38280,73112,1,0,0,1
B,2026,경기도,광주시,1,1,1,1,1100,15840,4400,21340,1,0,0,1
B,2026,경기도,양주시,1,1,0,1,3960,1100,0,5060,1,0,0,1
B,2026,경기도,포천시,1,1,0,1,4620,8800,0,13420,1,0,0,1
B,2026,경기도,여주시,1,1,1,1,3960,9900,18040,31900,1,0,0,1
B,2026,경기도,가평군,1,1,1,1,2640,8800,12760,24200,1,0,0,1
B,2026,경기도,양평군,1,1,1,1,3960,4400,15840,24200,1,0,0,1
B,2026,강원도,춘천시,1,0,0,1,6270,,0,6270,1,0,0,1
B,2026,강원도,원주시,0,0,1,1,,,6930,6930,1,0,0,1
B,2026,강원도,동해시,1,0,1,1,3960,0,19800,23760,1,0,0,1
B,2026,강원도,태백시,1,1,1,1,2640,9900,5280,17820,1,0,0,1
B,2026,강원도,속초시,0,1,0,1,,9900,0,9900,1,0,0,1
B,2026,강원도,삼척시,1,0,1,1,5280,,15840,21120,1,0,0,1
B,2026,강원도,횡성군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,강원도,인제군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,강원도,양양군,1,1,0,1,2640,2200,0,4840,1,0,0,1
B,2026,충청북도,청주시,0,0,1,1,,,5300,5300,1,0,0,1
B,2026,충청북도,충주시,1,0,1,1,3960,0,22000,25960,1,0,0,1
B,2026,충청북도,제천시,1,1,1,1,3960,8800,12760,25520,1,0,0,1
B,2026,충청북도,보은군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,충청북도,영동군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,충청북도,괴산군,1,1,0,1,2640,1100,0,3740,1,0,0,1
B,2026,충청북도,단양군,1,1,0,1,2640,1100,0,3740,1,0,0,1
B,2026,충청북도,증평군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,충청남도,천안시,1,1,1,1,9240,9900,33660,52800,1,0,0,1
B,2026,충청남도,공주시,1,1,1,1,3960,7700,18040,29700,1,0,0,1
B,2026,충청남도,아산시,1,1,1,1,3960,1100,18040,23100,1,0,0,1
B,2026,충청남도,서산시,1,1,0,1,3960,1100,0,5060,1,0,0,1
B,2026,충청남도,논산시,1,1,1,1,3960,1100,18040,23100,1,0,0,1
B,2026,충청남도,계룡시,1,1,0,1,2640,2200,0,4840,1,0,0,1
B,2026,충청남도,당진시,1,1,1,1,7920,11000,18040,36960,1,0,0,1
B,2026,충청남도,금산군,1,1,0,1,2640,9900,0,12540,1,0,0,1
B,2026,충청남도,부여군,1,1,0,1,3960,1100,0,5060,1,0,0,1
B,2026,충청남도,서천군,1,1,0,1,4620,1100,0,5720,1,0,0,1
B,2026,충청남도,청양군,1,1,0,1,2640,2200,0,4840,1,0,0,1
B,2026,충청남도,예산군,1,1,0,1,3960,1100,0,5060,1,0,0,1
B,2026,충청남도,태안군,1,1,0,1,2640,3300,0,5940,1,0,0,1
B,2026,충청남도,당진시,1,1,1,1,3960,9900,18040,31900,1,0,0,1
B,2026,전라북도,전주시,1,1,1,1,7920,6600,21120,35640,1,0,0,1
B,2026,전라북도,정읍시,1,1,0,1,3960,2200,0,6160,1,0,0,1
B,2026,전라북도,남원시,0,0,1,1,,,5060,5060,1,0,0,1
B,2026,전라북도,장수군,1,1,0,1,2640,1100,0,3740,1,0,0,1
B,2026,전라북도,임실군,1,1,0,1,2640,1100,0,3740,1,0,0,1
B,2026,전라북도,무주군,1,1,0,1,2640,2200,0,4840,1,0,0,1
B,2026,전라남도,목포시,1,0,1,1,5610,,15840,21450,1,0,0,1
B,2026,전라남도,여수시,1,1,1,1,3960,2200,15840,22000,1,0,0,1
B,2026,전라남도,순천시,1,1,1,1,3960,2200,15840,22000,1,0,0,1
B,2026,전라남도,나주시,1,0,1,1,3960,,15840,19800,1,0,0,1
B,2026,전라남도,곡성군,1,1,1,1,3300,1000,5720,10020,1,0,0,1
B,2026,전라남도,구례군,1,0,1,1,2640,,5280,7920,1,0,0,1
B,2026,전라남도,보성군,1,0,0,1,2640,,0,2640,1,0,0,1
B,2026,전라남도,무안군,1,1,0,1,2640,2640,0,5280,1,0,0,1
B,2026,전라남도,함평군,1,1,1,1,2640,9900,10560,23100,1,0,0,1
B,2026,전라남도,영광군,1,0,1,1,2640,,12760,15400,1,0,0,1
B,2026,전라남도,장성군,1,1,0,1,2640,5280,0,7920,1,0,0,1
B,2026,전라남도,해남군,0,0,1,1,,,7920,7920,1,0,0,1
B,2026,경상북도,경주시,1,1,1,1,3960,4340,18040,26340,1,0,0,1
B,2026,경상북도,경산시,1,0,1,1,3960,,18040,22000,1,0,0,1
B,2026,경상북도,김천시,1,1,1,1,7920,1320,36080,45320,1,0,0,1
B,2026,경상북도,포항시,1,0,0,1,6000,,0,6000,1,0,0,1
B,2026,경상북도,영주시,1,1,0,1,3960,2200,0,6160,1,0,0,1
B,2026,경상북도,영천시,1,0,0,1,7920,,0,7920,1,0,0,1
B,2026,경상북도,상주시,1,1,0,1,3960,3300,0,7260,1,0,0,1
B,2026,경상북도,의성군,1,1,0,1,2640,2200,0,4840,1,0,0,1
B,2026,경상북도,성주군,1,1,1,1,2640,9360,3960,15960,1,0,0,1
